,country,chistians,muslims,unaffiliated,hindus,buddhists,folkReligions,other,jews,happinessRank,score,pop2021
41,Finland,4300000,40000,1020000,5000,5000,5000,5000,5000,1,7.809,5548360.0
42,France,39560000,4710000,17580000,30000,280000,220000,100000,310000,23,6.664,65426179.0
43,Gabon,1150000,170000,80000,5000,5000,90000,5000,5000,108,4.829,2278825.0
44,Gambia,80000,1640000,5000,5000,5000,5000,5000,5000,113,4.751,2486945.0
45,Georgia,3850000,470000,30000,5000,5000,5000,5000,5000,117,4.673,3979765.0
46,Germany,56540000,4760000,20350000,80000,210000,40000,100000,230000,17,7.076,83900473.0
47,Ghana,18260000,3860000,1020000,5000,5000,1200000,40000,5000,91,5.148,31732129.0
48,Greece,10010000,610000,700000,20000,5000,10000,5000,5000,77,5.515,10370744.0
49,Guatemala,13690000,5000,590000,5000,5000,80000,10000,5000,29,6.399,18249860.0
50,Guinea,1090000,8430000,180000,5000,5000,270000,5000,5000,102,4.949,13497244.0
51,Haiti,8690000,5000,1060000,5000,5000,220000,30000,5000,142,3.721,11541685.0
52,Honduras,6660000,10000,790000,5000,5000,80000,40000,5000,56,5.953,10062991.0
53,Hong Kong,1010000,130000,3950000,30000,930000,900000,110000,5000,78,5.51,7552810.0
54,Hungary,8090000,5000,1860000,5000,5000,5000,5000,10000,53,6.0,9634164.0
55,Iceland,300000,5000,10000,5000,5000,5000,5000,5000,4,7.504,343353.0
56,India,31130000,176200000,870000,973750000,9250000,5850000,27560000,10000,144,3.573,1393409038.0
57,Indonesia,23660000,209120000,240000,4050000,1720000,750000,340000,5000,84,5.286,276361783.0
58,Iran,110000,73570000,110000,20000,5000,5000,150000,5000,118,4.672,85028759.0
